Date,Demand,DayOfWeek,DayOfMonth,Month,Quarter,WeekOfYear,IsWeekend,Lag_1,Lag_7,Lag_14,Lag_28,Rolling_Mean_7,Rolling_Mean_14,Rolling_Mean_28,Demand_Change_1,Demand_Change_7,Short_Long_Ratio,Recent_Trend
2010-02-01,31,0,1,2,1,5,0,111.0,51.0,331.0,0.0,206.42857142857142,189.14285714285714,140.14285714285714,60.0,-220.0,1.4625506072874495,66.28571428571428
2010-02-02,240,1,2,2,1,5,0,31.0,799.0,68.0,27.0,203.57142857142858,167.71428571428572,141.25,-768.0,-37.0,1.4310820989204118,62.321428571428584
2010-02-03,26,2,3,2,1,5,0,240.0,243.0,513.0,0.0,123.71428571428571,180.0,148.85714285714286,-3.0,-273.0,0.8255481410867492,-25.142857142857153
2010-02-04,187,3,4,2,1,5,0,26.0,168.0,57.0,636.0,92.71428571428571,145.21428571428572,149.78571428571428,-142.0,-31.0,0.6148744670772146,-57.07142857142857
2010-02-05,75,4,5,2,1,5,0,187.0,73.0,125.0,48.0,95.42857142857143,154.5,133.75,114.0,62.0,0.7081897694142593,-38.32142857142857
2010-02-06,0,5,6,2,1,5,1,75.0,0.0,0.0,0.0,95.71428571428571,150.92857142857142,134.71428571428572,75.0,75.0,0.7052631578947367,-39.000000000000014
2010-02-07,413,6,7,2,1,5,1,0.0,111.0,109.0,60.0,95.71428571428571,150.92857142857142,134.71428571428572,-111.0,-109.0,0.7052631578947367,-39.000000000000014
2010-02-08,151,0,8,2,1,6,0,413.0,31.0,51.0,64.0,138.85714285714286,172.64285714285714,147.32142857142858,382.0,362.0,0.9361907055140861,-8.464285714285722
2010-02-09,99,1,9,2,1,6,0,151.0,240.0,799.0,247.0,156.0,179.78571428571428,150.42857142857142,-89.0,-648.0,1.030188679245283,5.571428571428584
2010-02-10,33,2,10,2,1,6,0,99.0,26.0,243.0,7.0,135.85714285714286,129.78571428571428,145.14285714285714,73.0,-144.0,0.9296187683284458,-9.285714285714278
2010-02-11,78,3,11,2,1,6,0,33.0,187.0,168.0,31.0,136.85714285714286,114.78571428571429,146.07142857142858,-154.0,-135.0,0.9305488101019912,-9.214285714285722
2010-02-12,315,4,12,2,1,6,0,78.0,75.0,73.0,48.0,121.28571428571429,108.35714285714286,147.75,3.0,5.0,0.8153661464585835,-26.464285714285708
2010-02-13,0,5,13,2,1,6,1,315.0,0.0,0.0,0.0,155.57142857142858,125.64285714285714,157.28571428571428,315.0,315.0,0.9828519855595669,-1.714285714285694
2010-02-14,229,6,14,2,1,6,1,0.0,413.0,111.0,108.0,155.57142857142858,125.64285714285714,157.28571428571428,-413.0,-111.0,0.9828519855595669,-1.714285714285694
2010-02-15,96,0,15,2,1,7,0,229.0,151.0,31.0,331.0,129.28571428571428,134.07142857142858,161.60714285714286,78.0,198.0,0.795080166922908,-32.321428571428584
2010-02-16,112,1,16,2,1,7,0,96.0,99.0,240.0,68.0,121.42857142857143,138.71428571428572,153.21428571428572,-3.0,-144.0,0.7874015748031495,-31.785714285714292
2010-02-17,368,2,17,2,1,7,0,112.0,33.0,26.0,513.0,123.28571428571429,129.57142857142858,154.78571428571428,79.0,86.0,0.7913801008711601,-31.499999999999986
2010-02-18,198,3,18,2,1,7,0,368.0,78.0,187.0,57.0,171.14285714285714,154.0,149.60714285714286,290.0,181.0,1.136352857481622,21.535714285714278
2010-02-19,31,4,19,2,1,7,0,198.0,315.0,75.0,125.0,188.28571428571428,154.78571428571428,154.64285714285714,-117.0,123.0,1.2097292335933914,33.64285714285714
2010-02-20,0,5,20,2,1,7,1,31.0,0.0,0.0,0.0,147.71428571428572,151.64285714285714,151.28571428571428,31.0,31.0,0.9699812382739214,-3.571428571428555
2010-02-21,76,6,21,2,1,7,1,0.0,229.0,413.0,109.0,147.71428571428572,151.64285714285714,151.28571428571428,-229.0,-413.0,0.9699812382739214,-3.571428571428555
2010-02-22,330,0,22,2,1,8,0,76.0,96.0,151.0,51.0,125.85714285714286,127.57142857142857,150.10714285714286,-20.0,-75.0,0.8329000236350744,-24.25
2010-02-23,216,1,23,2,1,8,0,330.0,112.0,99.0,799.0,159.28571428571428,140.35714285714286,160.07142857142858,218.0,231.0,0.9889135254988912,-0.785714285714306
2010-02-24,53,2,24,2,1,8,0,216.0,368.0,33.0,243.0,174.14285714285714,148.71428571428572,139.25,-152.0,183.0,1.2416603004838298,34.89285714285714
2010-02-25,709,3,25,2,1,8,0,53.0,198.0,78.0,168.0,129.14285714285714,150.14285714285714,132.46428571428572,-145.0,-25.0,0.9676210864329675,-3.3214285714285836
2010-02-26,4,4,26,2,1,8,0,709.0,31.0,315.0,73.0,202.14285714285714,195.21428571428572,151.78571428571428,678.0,394.0,1.3230481533426834,50.35714285714286
2010-02-27,0,5,27,2,1,8,1,4.0,0.0,0.0,0.0,198.28571428571428,173.0,149.32142857142858,4.0,4.0,1.3190781658351152,48.964285714285694
2010-02-28,195,6,28,2,1,8,1,0.0,76.0,229.0,111.0,198.28571428571428,173.0,149.32142857142858,-76.0,-229.0,1.3190781658351152,48.964285714285694
2010-03-01,385,0,1,3,1,9,0,195.0,330.0,96.0,31.0,215.28571428571428,170.57142857142858,152.32142857142858,-135.0,99.0,1.404146284649429,62.964285714285694
2010-03-02,55,1,2,3,1,9,0,385.0,216.0,112.0,240.0,223.14285714285714,191.21428571428572,164.96428571428572,169.0,273.0,1.344523348396815,58.178571428571416
2010-03-03,338,2,3,3,1,9,0,55.0,53.0,368.0,26.0,200.14285714285714,187.14285714285714,158.35714285714286,2.0,-313.0,1.2559390407888837,41.78571428571428
2010-03-04,360,3,4,3,1,9,0,338.0,709.0,198.0,187.0,240.85714285714286,185.0,169.5,-371.0,140.0,1.4126518642647674,71.35714285714286
2010-03-05,124,4,5,3,1,9,0,360.0,4.0,31.0,75.0,191.0,196.57142857142858,175.67857142857142,356.0,329.0,1.0810592278148374,15.321428571428584
2010-03-06,0,5,6,3,1,9,1,124.0,0.0,0.0,0.0,208.14285714285714,203.21428571428572,177.42857142857142,124.0,124.0,1.1665332265812651,30.714285714285722
2010-03-07,52,6,7,3,1,9,1,0.0,195.0,76.0,413.0,208.14285714285714,203.21428571428572,177.42857142857142,-195.0,-76.0,1.1665332265812651,30.714285714285722
2010-03-08,77,0,8,3,1,10,0,52.0,385.0,330.0,151.0,187.71428571428572,201.5,164.53571428571428,-333.0,-278.0,1.133980582524272,23.178571428571445
2010-03-09,96,1,9,3,1,10,0,77.0,55.0,216.0,99.0,143.71428571428572,183.42857142857142,161.89285714285714,22.0,-139.0,0.8822626616969963,-18.178571428571416
2010-03-10,324,2,10,3,1,10,0,96.0,338.0,53.0,33.0,149.57142857142858,174.85714285714286,161.78571428571428,-242.0,43.0,0.9188240456340502,-12.214285714285694
2010-03-11,28,3,11,3,1,10,0,324.0,360.0,709.0,78.0,147.57142857142858,194.21428571428572,172.17857142857142,-36.0,-385.0,0.8521344607135494,-24.607142857142833
2010-03-12,31,4,12,3,1,10,0,28.0,124.0,4.0,315.0,100.14285714285714,145.57142857142858,170.39285714285714,-96.0,24.0,0.5842883934152948,-70.25
2010-03-13,0,5,13,3,1,10,1,31.0,0.0,0.0,0.0,86.85714285714286,147.5,160.25,31.0,31.0,0.5386489479512736,-73.39285714285714
2010-03-14,133,6,14,3,1,10,1,0.0,52.0,195.0,229.0,86.85714285714286,147.5,160.25,-52.0,-195.0,0.5386489479512736,-73.39285714285714
2010-03-15,83,0,15,3,1,11,0,133.0,77.0,385.0,96.0,98.42857142857143,143.07142857142858,156.82142857142858,56.0,-252.0,0.6236705136908802,-58.39285714285715
2010-03-16,180,1,16,3,1,11,0,83.0,96.0,55.0,112.0,99.28571428571429,121.5,156.35714285714286,-13.0,28.0,0.6309577848388561,-57.07142857142857
2010-03-17,600,2,17,3,1,11,0,180.0,324.0,338.0,368.0,111.28571428571429,130.42857142857142,158.78571428571428,-144.0,-158.0,0.6964684845775593,-47.499999999999986
2010-03-18,220,3,18,3,1,11,0,600.0,28.0,360.0,198.0,150.71428571428572,149.14285714285714,167.07142857142858,572.0,240.0,0.8967275818104548,-16.35714285714286
2010-03-19,157,4,19,3,1,11,0,220.0,31.0,124.0,31.0,178.14285714285714,139.14285714285714,167.85714285714286,189.0,96.0,1.0549915397631133,10.285714285714278
2010-03-20,0,5,20,3,1,11,1,157.0,0.0,0.0,0.0,196.14285714285714,141.5,172.35714285714286,157.0,157.0,1.1314379892871858,23.785714285714278
2010-03-21,61,6,21,3,1,11,1,0.0,133.0,52.0,76.0,196.14285714285714,141.5,172.35714285714286,-133.0,-52.0,1.1314379892871858,23.785714285714278
2010-03-22,145,0,22,3,1,12,0,61.0,83.0,77.0,330.0,185.85714285714286,142.14285714285714,171.82142857142858,-22.0,-16.0,1.075428807604877,14.035714285714278
2010-03-23,3,1,23,3,1,12,0,145.0,180.0,96.0,216.0,194.71428571428572,147.0,165.21428571428572,-35.0,49.0,1.1714654061022776,29.5
2010-03-24,101,2,24,3,1,12,0,3.0,600.0,324.0,53.0,169.42857142857142,140.35714285714286,157.60714285714286,-597.0,-321.0,1.0682278766043682,11.821428571428555
2010-03-25,156,3,25,3,1,12,0,101.0,220.0,28.0,709.0,98.14285714285714,124.42857142857143,159.32142857142858,-119.0,73.0,0.6121630652706616,-61.178571428571445
2010-03-26,338,4,26,3,1,12,0,156.0,157.0,31.0,4.0,89.0,133.57142857142858,139.57142857142858,-1.0,125.0,0.6331300813008129,-50.571428571428584
2010-03-27,0,5,27,3,1,12,1,338.0,0.0,0.0,0.0,114.85714285714286,155.5,151.5,338.0,338.0,0.7531615925058548,-36.64285714285714
2010-03-28,137,6,28,3,1,12,1,0.0,61.0,133.0,195.0,114.85714285714286,155.5,151.5,-61.0,-133.0,0.7531615925058548,-36.64285714285714
2010-03-29,157,0,29,3,1,13,0,137.0,145.0,83.0,385.0,125.71428571428571,155.78571428571428,149.42857142857142,-8.0,54.0,0.835707502374169,-23.714285714285708
2010-03-30,187,1,30,3,1,13,0,157.0,3.0,180.0,55.0,127.42857142857143,161.07142857142858,141.28571428571428,154.0,-23.0,0.8955823293172691,-13.857142857142847
2010-03-31,109,2,31,3,1,13,0,187.0,101.0,600.0,338.0,153.71428571428572,161.57142857142858,146.0,86.0,-413.0,1.0456754130223518,7.714285714285722
2010-04-01,106,3,1,4,2,13,0,109.0,156.0,220.0,360.0,154.85714285714286,126.5,137.82142857142858,-47.0,-111.0,1.1155132492925135,17.035714285714278
2010-04-02,0,4,2,4,2,13,0,106.0,338.0,157.0,124.0,147.71428571428572,118.35714285714286,128.75,-232.0,-51.0,1.1384530690889072,18.964285714285722
2010-04-03,0,5,3,4,2,13,1,0.0,0.0,0.0,0.0,99.42857142857143,107.14285714285714,124.32142857142857,0.0,0.0,0.7933884297520661,-24.89285714285714
2010-04-04,0,6,4,4,2,13,1,0.0,137.0,61.0,52.0,99.42857142857143,107.14285714285714,124.32142857142857,-137.0,-61.0,0.7933884297520661,-24.89285714285714
2010-04-05,0,0,5,4,2,14,0,0.0,157.0,145.0,77.0,79.85714285714286,102.78571428571429,122.46428571428571,-157.0,-145.0,0.6468035869250797,-42.60714285714285
2010-04-06,864,1,6,4,2,14,0,0.0,187.0,3.0,96.0,57.42857142857143,92.42857142857143,119.71428571428571,-187.0,-3.0,0.47573964497041427,-62.28571428571428
2010-04-07,534,2,7,4,2,14,0,864.0,109.0,101.0,324.0,154.14285714285714,153.92857142857142,147.14285714285714,755.0,763.0,1.0405014464802314,7.0
2010-04-08,201,3,8,4,2,14,0,534.0,106.0,156.0,28.0,214.85714285714286,184.85714285714286,154.64285714285714,428.0,378.0,1.3804497475906379,60.21428571428572
2010-04-09,96,4,9,4,2,14,0,201.0,0.0,338.0,31.0,228.42857142857142,188.07142857142858,160.82142857142858,201.0,-137.0,1.4116089163540055,67.60714285714283
2010-04-10,0,5,10,4,2,14,1,96.0,0.0,0.0,0.0,242.14285714285714,170.78571428571428,163.14285714285714,96.0,96.0,1.475195822454308,79.0
2010-04-11,29,6,11,4,2,14,1,0.0,0.0,137.0,133.0,242.14285714285714,170.78571428571428,163.14285714285714,0.0,-137.0,1.475195822454308,79.0
2010-04-12,48,0,12,4,2,15,0,29.0,0.0,157.0,83.0,246.28571428571428,163.07142857142858,159.42857142857142,29.0,-128.0,1.5351736420302762,86.85714285714286
2010-04-13,480,1,13,4,2,15,0,48.0,864.0,187.0,180.0,253.14285714285714,155.28571428571428,158.17857142857142,-816.0,-139.0,1.5903073816468478,94.96428571428572
2010-04-14,264,2,14,4,2,15,0,480.0,534.0,109.0,600.0,198.28571428571428,176.21428571428572,168.89285714285714,-54.0,371.0,1.1671221357998738,29.39285714285714
2010-04-15,120,3,15,4,2,15,0,264.0,201.0,106.0,220.0,159.71428571428572,187.28571428571428,156.89285714285714,63.0,158.0,1.0115358516172812,2.8214285714285836
2010-04-16,360,4,16,4,2,15,0,120.0,96.0,0.0,157.0,148.14285714285714,188.28571428571428,153.32142857142858,24.0,120.0,0.9599629715343669,-5.178571428571445
2010-04-17,0,5,17,4,2,15,1,360.0,0.0,0.0,0.0,185.85714285714286,214.0,160.57142857142858,360.0,360.0,1.150309460654288,25.285714285714278
2010-04-18,28,6,18,4,2,15,1,0.0,29.0,0.0,61.0,185.85714285714286,214.0,160.57142857142858,-29.0,0.0,1.150309460654288,25.285714285714278
2010-04-19,148,0,19,4,2,16,0,28.0,48.0,0.0,145.0,185.71428571428572,216.0,159.39285714285714,-20.0,28.0,1.1578712981518593,26.321428571428584
2010-04-20,110,1,20,4,2,16,0,148.0,480.0,864.0,3.0,200.0,226.57142857142858,159.5,-332.0,-716.0,1.2461059190031152,40.5
2010-04-21,79,2,21,4,2,16,0,110.0,264.0,534.0,101.0,147.14285714285714,172.71428571428572,163.32142857142858,-154.0,-424.0,0.8954575092371223,-16.178571428571445
2010-04-22,302,3,22,4,2,16,0,79.0,120.0,201.0,156.0,120.71428571428571,140.21428571428572,162.53571428571428,-41.0,-122.0,0.7381524350294825,-41.82142857142857
2010-04-23,76,4,23,4,2,16,0,302.0,360.0,96.0,338.0,146.71428571428572,147.42857142857142,167.75,-58.0,206.0,0.8694179894179894,-21.035714285714278
2010-04-24,0,5,24,4,2,16,1,76.0,0.0,0.0,0.0,106.14285714285714,146.0,158.39285714285714,76.0,76.0,0.6659197848980506,-52.25
2010-04-25,76,6,25,4,2,16,1,0.0,28.0,29.0,137.0,106.14285714285714,146.0,158.39285714285714,-28.0,-29.0,0.6659197848980506,-52.25
2010-04-26,443,0,26,4,2,17,0,76.0,148.0,48.0,157.0,113.0,149.35714285714286,156.21428571428572,-72.0,28.0,0.7187641980917764,-43.21428571428572
2010-04-27,242,1,27,4,2,17,0,443.0,110.0,480.0,187.0,155.14285714285714,177.57142857142858,166.42857142857142,333.0,-37.0,0.9266211604095563,-11.285714285714278
2010-04-28,340,2,28,4,2,17,0,242.0,79.0,264.0,109.0,174.0,160.57142857142858,168.39285714285714,163.0,-22.0,1.0271979759645795,5.607142857142861
2010-04-29,277,3,29,4,2,17,0,340.0,302.0,120.0,106.0,211.28571428571428,166.0,176.64285714285714,38.0,220.0,1.189384800965018,34.64285714285714
2010-04-30,141,4,30,4,2,17,0,277.0,76.0,360.0,0.0,207.71428571428572,177.21428571428572,182.75,201.0,-83.0,1.1304178814382897,24.964285714285722
2010-05-01,0,5,1,5,2,17,1,141.0,0.0,0.0,0.0,217.0,161.57142857142858,187.78571428571428,141.0,141.0,1.1494513810064322,29.214285714285722
2010-05-02,29,6,2,5,2,17,1,0.0,76.0,28.0,0.0,217.0,161.57142857142858,187.78571428571428,-76.0,-28.0,1.1494513810064322,29.214285714285722
2010-05-03,0,0,3,5,2,18,0,29.0,443.0,148.0,0.0,210.28571428571428,161.64285714285714,188.82142857142858,-414.0,-119.0,1.1078080903104421,21.464285714285694
2010-05-04,320,1,4,5,2,18,0,0.0,242.0,110.0,864.0,147.0,151.07142857142858,188.82142857142858,-242.0,-110.0,0.7744120413922859,-41.821428571428584
2010-05-05,52,2,5,5,2,18,0,320.0,340.0,79.0,534.0,158.14285714285714,166.07142857142858,169.39285714285714,-20.0,241.0,0.9281073150282959,-11.25
2010-05-06,133,3,6,5,2,18,0,52.0,277.0,302.0,201.0,117.0,164.14285714285714,152.17857142857142,-225.0,-250.0,0.763814408953136,-35.178571428571416
2010-05-07,245,4,7,5,2,18,0,133.0,141.0,76.0,96.0,96.42857142857143,152.07142857142858,149.75,-8.0,57.0,0.6396588486140725,-53.32142857142857
2010-05-08,0,5,8,5,2,18,1,245.0,0.0,0.0,0.0,111.28571428571429,164.14285714285714,155.07142857142858,245.0,245.0,0.7130434782608696,-43.78571428571429
2010-05-09,208,6,9,5,2,18,1,0.0,29.0,76.0,29.0,111.28571428571429,164.14285714285714,155.07142857142858,-29.0,-76.0,0.7130434782608696,-43.78571428571429
2010-05-10,96,0,10,5,2,19,0,208.0,0.0,443.0,48.0,136.85714285714286,173.57142857142858,161.46428571428572,208.0,-235.0,0.8423829413057815,-24.60714285714286
2010-05-11,463,1,11,5,2,19,0,96.0,320.0,242.0,480.0,150.57142857142858,148.78571428571428,163.17857142857142,-224.0,-146.0,0.917119860778769,-12.607142857142833
2010-05-12,169,2,12,5,2,19,0,463.0,52.0,340.0,264.0,171.0,164.57142857142858,162.57142857142858,411.0,123.0,1.045414847161572,8.428571428571416
2010-05-13,121,3,13,5,2,19,0,169.0,133.0,277.0,120.0,187.71428571428572,152.35714285714286,159.17857142857142,36.0,-108.0,1.1719063545150503,28.535714285714306
2010-05-14,26,4,14,5,2,19,0,121.0,245.0,141.0,360.0,186.0,141.21428571428572,159.21428571428572,-124.0,-20.0,1.1609451627284886,26.785714285714278
2010-05-15,0,5,15,5,2,19,1,26.0,0.0,0.0,0.0,154.71428571428572,133.0,147.28571428571428,26.0,26.0,1.0433526011560694,7.428571428571445
2010-05-16,36,6,16,5,2,19,1,0.0,208.0,29.0,28.0,154.71428571428572,133.0,147.28571428571428,-208.0,-29.0,1.0433526011560694,7.428571428571445
2010-05-17,108,0,17,5,2,20,0,36.0,96.0,0.0,148.0,130.14285714285714,133.5,147.57142857142858,-60.0,36.0,0.8759615384615383,-17.428571428571445
2010-05-18,121,1,18,5,2,20,0,108.0,463.0,320.0,110.0,131.85714285714286,141.21428571428572,146.14285714285714,-355.0,-212.0,0.896116504854369,-14.285714285714278
2010-05-19,78,2,19,5,2,20,0,121.0,169.0,52.0,79.0,83.0,127.0,146.53571428571428,-48.0,69.0,0.5625756475429678,-63.53571428571428
2010-05-20,364,3,20,5,2,20,0,78.0,121.0,133.0,302.0,70.0,128.85714285714286,146.5,-43.0,-55.0,0.4745762711864407,-76.5
2010-05-21,28,4,21,5,2,20,0,364.0,26.0,245.0,76.0,104.71428571428571,145.35714285714286,148.71428571428572,338.0,119.0,0.6994274809160305,-44.000000000000014
2010-05-22,0,5,22,5,2,20,1,28.0,0.0,0.0,0.0,105.0,129.85714285714286,147.0,28.0,28.0,0.7094594594594594,-42.0
2010-05-23,240,6,23,5,2,20,1,0.0,36.0,208.0,76.0,105.0,129.85714285714286,147.0,-36.0,-208.0,0.7094594594594594,-42.0
2010-05-24,155,0,24,5,2,21,0,240.0,108.0,96.0,443.0,134.14285714285714,132.14285714285714,152.85714285714286,132.0,144.0,0.8718662952646239,-18.714285714285722
2010-05-25,604,1,25,5,2,21,0,155.0,121.0,463.0,242.0,140.85714285714286,136.35714285714286,142.57142857142858,34.0,-308.0,0.981094527363184,-1.7142857142857224
2010-05-26,171,2,26,5,2,21,0,604.0,78.0,169.0,340.0,209.85714285714286,146.42857142857142,155.5,526.0,435.0,1.3409402099497947,54.35714285714286
2010-05-27,296,3,27,5,2,21,0,171.0,364.0,121.0,277.0,223.14285714285714,146.57142857142858,149.46428571428572,-193.0,50.0,1.4830287206266317,73.67857142857142
2010-05-28,98,4,28,5,2,21,0,296.0,28.0,26.0,141.0,213.42857142857142,159.07142857142858,150.14285714285714,268.0,270.0,1.4120982986767485,63.28571428571428
2010-05-29,0,5,29,5,2,21,1,98.0,0.0,0.0,0.0,223.42857142857142,164.21428571428572,148.60714285714286,98.0,98.0,1.4934351873955596,74.82142857142856
2010-05-30,171,6,30,5,2,21,1,0.0,240.0,36.0,29.0,223.42857142857142,164.21428571428572,148.60714285714286,-240.0,-36.0,1.4934351873955596,74.82142857142856
2010-05-31,0,0,31,5,2,22,0,171.0,155.0,108.0,0.0,213.57142857142858,173.85714285714286,153.67857142857142,16.0,63.0,1.3807434772569847,59.89285714285717
2010-06-01,31,1,1,6,2,22,0,0.0,604.0,121.0,320.0,191.42857142857142,166.14285714285714,153.67857142857142,-604.0,-121.0,1.237589471253752,37.75
2010-06-02,146,2,2,6,2,22,0,31.0,171.0,78.0,52.0,109.57142857142857,159.71428571428572,143.35714285714286,-140.0,-47.0,0.7590301830776843,-33.78571428571429
2010-06-03,316,3,3,6,2,22,0,146.0,296.0,364.0,133.0,106.0,164.57142857142858,146.71428571428572,-150.0,-218.0,0.7176015473887813,-40.71428571428572
2010-06-04,103,4,4,6,2,22,0,316.0,98.0,28.0,245.0,108.85714285714286,161.14285714285714,153.25,218.0,288.0,0.7057189164158371,-44.39285714285714
2010-06-05,0,5,5,6,2,22,1,103.0,0.0,0.0,0.0,109.57142857142857,166.5,148.17857142857142,103.0,103.0,0.7344984438592291,-38.60714285714285
2010-06-06,240,6,6,6,2,22,1,0.0,171.0,240.0,208.0,109.57142857142857,166.5,148.17857142857142,-171.0,-240.0,0.7344984438592291,-38.60714285714285
2010-06-07,545,0,7,6,2,23,0,240.0,0.0,155.0,96.0,119.42857142857143,166.5,149.32142857142858,240.0,85.0,0.7944880019006889,-29.892857142857153
2010-06-08,172,1,8,6,2,23,0,545.0,31.0,604.0,463.0,197.28571428571428,194.35714285714286,165.35714285714286,514.0,-59.0,1.1859167024474022,31.928571428571416
